1,Man Hair Cut + Wash + Dry,1,,Stylist 2,60000,Stylist 1,70000,,0,2024-05-07 14:10:00,2024-05-07 14:10:00
2,Woman Hair Cut + Wash + Dry,1,,Stylist 2,85000,Stylist 1,105000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
3,Woman Hair Cut + Blow In/Catok,1,,Stylist 2,125000,Stylist 1,140000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
4,Bangs Cut (gunting poni),1,,Stylist 2,45000,Stylist 1,45000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
5,Dry Only,1,,Sort,40000,Middle,40000,Long,40000,2024-05-07 14:10:00,2024-05-07 14:10:00
6,Blow In,1,,Sort,50000,Middle,60000,Long,70000,2024-05-07 14:10:00,2024-05-07 14:10:00
7,Natural Blow,1,,Sort,65000,Middle,75000,Long,90000,2024-05-07 14:10:00,2024-05-07 14:10:00
8,Catok,1,,Sort,50000,Middle,60000,Long,75000,2024-05-07 14:10:00,2024-05-07 14:10:00
9,Curly,1,,Sort,65000,Middle,65000,Long,85000,2024-05-07 14:10:00,2024-05-07 14:10:00
10,Hair Keratin Treatment,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,725000,Middle,950000,Long,1200000,2024-05-07 14:10:00,2024-05-07 14:10:00
11,Hair Colouring,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,450000,Middle,600000,Long,750000,2024-05-07 14:10:00,2024-05-07 14:10:00
12,Hair Highlight Full,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,650000,Middle,775000,Long,900000,2024-05-07 14:10:00,2024-05-07 14:10:00
13,Hair Cleansing,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,250000,Middle,250000,Long,250000,2024-05-07 14:10:00,2024-05-07 14:10:00
14,Hair Lightening,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,375000,Middle,450000,Long,550000,2024-05-07 14:10:00,2024-05-07 14:10:00
15,Hair Toning,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,300000,Middle,400000,Long,450000,2024-05-07 14:10:00,2024-05-07 14:10:00
16,Hair Magical Smooth,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,600000,Middle,750000,Long,875000,2024-05-07 14:10:00,2024-05-07 14:10:00
17,Hair Smoothing Keratin,1,"Hair Colouring Balayage, Hair Colouring Fashion, Hair Extention",Sort,650000,Middle,875000,Long,1050000,2024-05-07 14:10:00,2024-05-07 14:10:00
18,Creambath Traditional (total 60 minutes),2,"Stawberry / Avocado / Grape / Ginseng / Collagen / Milky / Aloe Vera <br> Including : Hair Creambath, Back Message, Wash & Dry",,90000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
19,Creambath Traditional 60',2,"Stawberry / Avocado / Grape / Ginseng / Collagen / Milky / Aloe Vera <br> Including : Hair Creambath, Back Message, Wash & Dry <br>Add. Back Message Scrub",,140000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
20,Creambath Traditional 60',2,"Stawberry / Avocado / Grape / Ginseng / Collagen / Milky / Aloe Vera <br> Including : Hair Creambath, Back Message, Wash & Dry <br>Add. Food Message Scrub",,140000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
21,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> MPC Strawberry",For Single,105000,For Couple,200000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
22,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> MPC Green Tea",For Single,105000,For Couple,200000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
23,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> Biolage",For Single,115000,For Couple,220000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
24,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> Biolage Scalp mint",For Single,145000,For Couple,280000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
25,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> L'oreal Wateer Lily",For Single,135000,For Couple,260000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
26,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> L'oreal Tea Tree Oil",For Single,135000,For Couple,260000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
27,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> L'oreal Scalp DX",For Single,180000,For Couple,350000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
28,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> Makarizo Chocolate",For Single,130000,For Couple,250000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
29,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> Makarizo Vanilla Milk",For Single,130000,For Couple,250000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
30,Hair Spa,2,"Including : Hair Spa, Back Message, Wash & Dry <br> Makarizo Strawberry",For Single,130000,For Couple,250000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
31,Hair Mask,2,"Including : Hair Mask, Back Message, Wash & Dry <br> L'oreal Hair Mask",For Single,270000,For Couple,530000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
32,Hair Mask,2,"Including : Hair Mask, Back Message, Wash & Dry <br> Karatin Hair Mask",For Single,275000,For Couple,540000,,,2024-05-07 14:10:00,2024-05-07 14:10:00
33,Grandma Hair Cut + Wash + Dry,1,"Special Price For Our Grandparents <br> *Please show year ID Card, the minimum age is 60 years",,65000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
34,Grandpa Hair Cut + Wash + Dry,1,"Special Price For Our Grandparents <br> *Please show year ID Card, the minimum age is 60 years",,50000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
35,Body Scrub 90',3,"Collagen<br>Including : Body Message Warm Oil, Body Scrub, Body Steam, Body Wash",,145000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
36,Body Scrub 90',3,"Whitening<br>Including : Body Message Warm Oil, Body Scrub, Body Steam, Body Wash",,145000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
37,Body Scrub 90',3,"Milky<br>Including : Body Message Warm Oil, Body Scrub, Body Steam, Body Wash",,145000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
38,Body Scrub 90',3,"Green Tea<br>Including : Body Message Warm Oil, Body Scrub, Body Steam, Body Wash",,145000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
39,Body Scrub 60',3,"Collagen<br>Including : Body Message Scrub,  Body Steam, Body Wash",,125000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
40,Body Scrub 60',3,"Whitening<br>Including : Body Message Scrub,  Body Steam, Body Wash",,125000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
41,Body Scrub 60',3,"Milky<br>Including : Body Message Scrub,  Body Steam, Body Wash",,125000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
42,Body Scrub 60',3,"Green Tea<br>Including : Body Message Scrub,  Body Steam, Body Wash",,125000,,,,,2024-05-07 14:10:00,2024-05-07 14:10:00
